Date/time,Humidity percent
2021-09-25 13:47:12.392049,52.48
2021-09-25 13:48:12.044296,52.53
2021-09-25 13:49:11.694451,52.28
2021-09-25 13:50:11.345286,52.15
2021-09-25 13:51:10.992333,51.78
2021-09-25 13:52:10.643835,51.86
2021-09-25 13:53:10.294507,51.83
2021-09-25 13:54:09.942167,52.01
2021-09-25 13:55:09.593855,51.94
2021-09-25 13:56:09.241079,51.65
2021-09-25 13:57:08.890861,51.48
2021-09-25 13:58:08.539624,51.64
2021-09-25 13:59:08.191157,51.83
2021-09-25 14:00:07.842610,51.72
2021-09-25 14:01:07.495077,51.32
2021-09-25 14:02:07.143490,51.8
2021-09-25 14:03:06.794309,52.35
2021-09-25 14:04:06.441585,51.13
2021-09-25 14:05:06.092849,51.09
2021-09-25 14:06:05.742526,51.59
2021-09-25 14:07:05.394664,51.67
2021-09-25 14:08:05.043436,51.83
2021-09-25 14:09:04.683503,52.54
2021-09-25 14:10:04.332392,52.53
2021-09-25 14:11:03.982460,51.03
2021-09-25 14:12:03.629940,52.14
2021-09-25 14:13:03.281658,52.95
2021-09-25 14:14:02.933524,52.39
2021-09-25 14:15:02.581287,52.53
2021-09-25 14:16:02.225439,52.52
2021-09-25 14:17:01.864342,52.5
2021-09-25 14:18:01.501458,52.29
2021-09-25 14:19:01.145828,52.5
2021-09-25 14:20:00.782396,52.52
2021-09-25 14:21:00.424914,52.82
2021-09-25 14:22:00.065558,52.58
2021-09-25 14:22:59.705929,52.38
2021-09-25 14:23:59.351762,52.11
2021-09-25 14:24:59.003455,52.55
2021-09-25 14:25:58.652883,51.63
2021-09-25 14:26:58.301741,50.69
2021-09-25 14:27:57.953275,52.59
2021-09-25 14:28:57.604052,52.43
2021-09-25 14:29:57.254239,52.95
2021-09-25 14:30:56.904292,52.62
2021-09-25 14:31:56.551966,52.71
2021-09-25 14:32:56.202794,52.42
2021-09-25 14:33:55.856650,52.47
2021-09-25 14:34:55.505302,52.61
2021-09-25 14:35:55.156167,52.9
2021-09-25 14:36:54.804137,52.41
2021-09-25 14:37:54.453531,52.63
2021-09-25 14:38:54.102840,52.65
2021-09-25 14:39:53.752661,52.55
2021-09-25 14:40:53.401814,52.84
2021-09-25 14:41:53.050913,52.74
2021-09-25 14:42:52.702328,52.66
2021-09-25 14:43:52.351961,52.9
2021-09-25 14:44:52.002449,52.63
2021-09-25 14:45:51.652083,52.89
2021-09-25 14:46:51.306309,52.77
2021-09-25 14:47:50.951678,52.61
2021-09-25 14:48:50.602959,52.38
2021-09-25 14:49:50.253755,53.13
2021-09-25 14:50:49.903123,53.04
2021-09-25 14:51:49.553744,53.3
2021-09-25 14:52:49.202429,53.0
2021-09-25 14:53:48.849942,52.9
2021-09-25 14:54:48.501132,53.06
2021-09-25 14:55:48.151922,53.34
2021-09-25 14:56:47.800935,53.14
2021-09-25 14:57:47.452821,53.16
2021-09-25 14:58:47.101555,53.44
2021-09-25 14:59:46.750028,53.47
2021-09-25 15:00:46.403119,53.33
2021-09-25 15:01:46.051592,54.12
2021-09-25 15:02:45.702180,53.35
2021-09-25 15:03:45.351169,52.96
2021-09-25 15:04:45.000946,52.65
2021-09-25 15:05:44.652289,53.49
2021-09-25 15:06:44.299839,52.62
2021-09-25 15:07:43.951903,52.09
2021-09-25 15:08:43.602107,52.35
2021-09-25 15:09:43.249950,52.54
2021-09-25 15:10:42.903002,52.75
2021-09-25 15:11:42.550573,51.68
2021-09-25 15:12:42.200875,52.54
2021-09-25 15:13:41.850239,51.33
2021-09-25 15:14:41.499914,52.36
2021-09-25 15:15:41.151754,52.29
2021-09-25 15:16:40.802841,52.36
2021-09-25 15:17:40.452966,52.11
2021-09-25 15:18:40.100377,52.32
2021-09-25 15:19:39.753142,52.24
2021-09-25 15:20:39.401873,52.53
2021-09-25 15:21:39.051727,52.37
2021-09-25 15:22:38.701825,52.6
2021-09-25 15:23:38.349896,52.72
2021-09-25 15:24:38.000649,52.39
2021-09-25 15:25:37.651860,53.71
2021-09-25 15:26:37.301057,52.57
2021-09-25 15:27:36.950262,52.78
2021-09-25 15:28:36.601375,53.07
2021-09-25 15:29:36.252308,52.72
2021-09-25 15:30:35.903432,52.96
2021-09-25 15:31:35.552910,53.31
2021-09-25 15:32:35.200278,52.77
2021-09-25 15:33:34.850863,52.98
2021-09-25 15:34:34.502500,52.46
2021-09-25 15:35:34.152237,53.26
2021-09-25 15:36:33.806122,52.7
2021-09-25 15:37:33.451139,52.8
2021-09-25 15:38:33.101397,53.27
2021-09-25 15:39:32.751495,52.83
2021-09-25 15:40:32.402043,53.52
2021-09-25 15:41:32.051378,53.08
2021-09-25 15:42:31.702817,53.21
2021-09-25 15:43:31.351736,53.05
2021-09-25 15:44:31.001906,52.66
2021-09-25 15:45:30.653347,52.99
2021-09-25 15:46:30.304055,53.09
2021-09-25 15:47:29.951117,53.04
2021-09-25 15:48:29.604877,52.78
2021-09-25 15:49:29.250904,53.22
2021-09-25 15:50:28.902146,53.42
2021-09-25 15:51:28.551609,52.98
2021-09-25 15:52:28.201368,53.17
2021-09-25 15:53:27.850252,52.86
2021-09-25 15:54:27.502382,52.72
2021-09-25 15:55:27.150513,52.86
2021-09-25 15:56:26.802982,52.67
2021-09-25 15:57:26.452186,53.85
2021-09-25 15:58:26.104049,53.02
2021-09-25 15:59:25.751369,53.01
2021-09-25 16:00:25.402284,52.91
2021-09-25 16:01:25.051535,53.13
2021-09-25 16:02:24.701358,52.65
2021-09-25 16:03:24.353376,54.18
2021-09-25 16:04:24.004730,52.83
2021-09-25 16:05:23.650829,53.08
2021-09-25 16:06:23.303088,53.09
2021-09-25 16:07:22.952296,52.82
2021-09-25 16:08:22.604184,53.72
2021-09-25 16:09:22.250537,52.85
2021-09-25 16:10:21.902850,53.04
2021-09-25 16:11:21.552676,53.13
2021-09-25 16:12:21.200858,52.88
2021-09-25 16:13:20.851894,52.58
2021-09-25 16:14:20.502684,52.83
2021-09-25 16:15:20.153055,53.48
2021-09-25 16:16:19.802268,53.18
2021-09-25 16:17:19.450978,52.85
2021-09-25 16:18:19.100952,52.96
2021-09-25 16:19:18.750757,52.26
2021-09-25 16:20:18.404427,52.71
2021-09-25 16:21:18.051907,53.01
2021-09-25 16:22:17.708198,52.81
2021-09-25 16:23:17.357079,52.96
2021-09-25 16:24:16.999038,52.92
2021-09-25 16:25:16.649415,53.02
2021-09-25 16:26:16.299161,53.09
2021-09-25 16:27:15.951453,53.24
2021-09-25 16:28:15.600218,53.45
2021-09-25 16:29:15.249029,53.32
2021-09-25 16:30:14.898951,53.36
2021-09-25 16:31:14.549505,53.4
2021-09-25 16:32:14.197334,53.38
2021-09-25 16:33:13.848981,52.9
2021-09-25 16:34:13.503866,52.86
2021-09-25 16:35:13.154504,53.22
2021-09-25 16:36:12.802118,53.15
2021-09-25 16:37:12.448973,53.44
2021-09-25 16:38:12.102893,52.45
2021-09-25 16:39:11.749967,53.25
